block,changed_label,oof_probability,predicted_at_threshold
1,0,0.9613782441978274,1
2,0,0.8097536286503904,1
3,0,0.5645503773062837,1
4,0,0.8416287831540262,1
5,0,0.5919163437860031,1
6,0,0.7690362981410167,1
7,0,0.5562752034524177,1
8,0,0.42131217887044503,1
9,0,0.8080756347809792,1
10,0,0.6508223467725638,1
11,0,0.5968317643047477,1
12,0,0.3305675527929507,1
13,0,0.5147124710906612,1
14,0,0.5159207224178911,1
15,0,0.6405060615641598,1
16,0,0.6287922225920999,1
17,0,0.6847832987159034,1
18,0,0.3859538288857794,1
19,0,0.5565929483872745,1
20,0,0.3804561150671171,1
21,1,0.6218510467248741,1
22,0,0.6361398300776419,1
23,0,0.6098913932365092,1
24,0,0.8547164973736449,1
25,0,0.4766899032684773,1
26,0,0.43866597772337734,1
27,0,0.6984342774855313,1
28,0,0.5910527774859283,1
29,0,0.5419114915180223,1
30,0,0.7077253740293812,1
31,0,0.8523707204821797,1
32,0,0.3462882186042901,1
33,1,0.809256116158087,1
34,0,0.3085657841592449,1
35,0,0.49085147594683093,1
36,0,0.7372328524721146,1
37,0,0.2972173242371377,1
38,0,0.6363867716951807,1
39,0,0.33768712613126434,1
40,0,0.4403622428235327,1
41,0,0.6566721162903771,1
42,1,0.7668763804374453,1
43,1,0.6970460653009125,1
44,1,0.6974044708052425,1
45,1,0.46990848390489576,1
46,1,0.3211183617496533,1
47,0,0.7307945089555129,1
48,0,0.6535859663345311,1
49,0,0.3388359967321744,1
50,0,0.27328605063631983,1
51,1,0.5170247081026147,1
52,0,0.6516327975030861,1
53,0,0.5424381415889016,1
54,0,0.2458734912065919,1
55,0,0.4977819332498105,1
56,0,0.7609128860798435,1
57,0,0.30025631935103586,1
58,1,0.4948569640737715,1
59,0,0.5067364645198174,1
60,0,0.5908330762542836,1
61,1,0.5423048573002113,1
62,0,0.5646315644293249,1
63,1,0.06799246866392956,0
64,0,0.6460530175737768,1
65,1,0.664117744971196,1
66,1,0.7289034384078051,1
67,0,0.6509273588996112,1
68,0,0.2761964022122302,1
69,0,0.2960361213157853,1
70,0,0.31514355059673044,1
71,0,0.7018285241426683,1
72,0,0.2727941743593939,1
73,0,0.6704611694690464,1
74,0,0.2917757587660268,1
75,0,0.2860044658070524,1
76,0,0.5935828879634687,1
77,1,0.5637608223683136,1
78,0,0.5709772510548252,1
79,0,0.5281650649821271,1
80,0,0.33361436623492097,1
81,0,0.2022395587252001,1
82,0,0.45345531066171674,1
83,0,0.11315096320312508,0
84,0,0.3812375510449112,1
85,0,0.39676845204854666,1
86,1,0.5136851183115649,1
87,1,0.29943843431021094,1
88,0,0.5186611259280511,1
89,0,0.16211209778141825,1
90,0,0.3973291992028088,1
91,0,0.2615488451274142,1
92,0,0.1675953776772962,1
93,0,0.2589622277181111,1
94,0,0.40569785347682047,1
95,0,0.4208812292594059,1
96,0,0.5325229197755014,1
97,0,0.24959863370164895,1
98,0,0.19731474988362377,1
99,0,0.25109550791680685,1
100,0,0.38845932817993034,1
101,0,0.4423151569405103,1
102,0,0.4631608074532165,1
103,0,0.32348636284586735,1
104,0,0.2892851023315576,1
105,1,0.5739520585999434,1
106,0,0.12449401711107463,0
107,0,0.5883607104518638,1
108,0,0.5571586178241308,1
109,0,0.5140655133568982,1
110,1,0.4474397940209338,1
111,0,0.5048766573063431,1
112,0,0.33509155371565874,1
113,0,0.3995510022189612,1
114,0,0.3439085100325003,1
115,0,0.5129663627843335,1
116,0,0.2776601133056763,1
117,0,0.11400049033691965,0
118,0,0.49093065931725605,1
119,0,0.420271073211451,1
120,0,0.5079616132469681,1
121,0,0.2818444960645613,1
122,0,0.4233890375329776,1
123,1,0.3733774349454265,1
124,0,0.31761554618569715,1
125,0,0.21849075564492398,1
126,0,0.2504471711496418,1
127,1,0.25062577360386257,1
128,0,0.25945752270732764,1
129,0,0.23267056128010394,1
130,0,0.636331597790172,1
131,0,0.6091503782732879,1
132,0,0.445994566534013,1
133,1,0.47162700953082803,1
134,0,0.18967842643944555,1
135,0,0.19834804659845556,1
136,0,0.24773578078479494,1
137,0,0.3832956245603151,1
138,0,0.18851738300262266,1
139,0,0.2001585155286262,1
140,0,0.2511899396472911,1
141,1,0.556664192913682,1
142,0,0.4511512256144495,1
143,1,0.4422291044409445,1
144,0,0.19294955575065525,1
145,0,0.2209444394393375,1
146,0,0.23354936844157942,1
147,0,0.3265892421530287,1
148,0,0.4289426497105496,1
149,0,0.21321214029003033,1
150,0,0.25972148907288456,1
151,0,0.2249281843181741,1
152,1,0.2067907559420067,1
153,1,0.216526443022064,1
154,1,0.31849331869446446,1
155,1,0.3559985578346332,1
156,1,0.512405211698835,1
157,1,0.4687731014458207,1
158,1,0.48329126067745626,1
159,1,0.5053020821431322,1
160,1,0.6232807964028777,1
161,0,0.18770733819070307,1
162,1,0.4676155142913124,1
163,1,0.5815653366166887,1
164,0,0.25445578558214865,1
165,1,0.6078682015415503,1
